Column1	Column2	Column3
07:27	なり	えへへ
07:27	みつきん	止まらんね
07:27	なり	とまらないよお
07:27	なり	SHISHAMO流れたあたまんなか
07:28	なり	思ったより冷静みたい
07:28	なり	君と夏フェスじゃん！！！！
07:28	なり	うるさい
07:28	みつきん	いやわかるーーー
07:28	みつきん	最近よく流れる
07:28	みつきん	あたまんなかで
07:28	なり	止まらないのは私の汗ーそれとも君へのきもーちー って流れるよね
07:28	みつきん	イントロから流れる
07:29	なり	ギターね
07:29	なり	あれ地味にムズいんよ
07:29	なり	がっトラウマが……
07:29	みつきん	全然むずそうだけど…
07:29	なり	思ったより早いし、、、
07:30	みつきん	そういうのもあんだな
07:30	なり	あんだぜ
07:30	みつきん	マジで楽器ひとつもできんからわからん
07:30	なり	いっしょにしよや
07:30	なり	だるい先輩みたいになった
07:30	みつきん	声でしか音色奏でたことないかも
07:31	なり	なんか素敵な言い回しやな
07:31	みつきん	リコーダーも無理
07:31	みつきん	そうか？？
07:31	なり	リコーダーなっつ
07:31	なり	声でしか音色奏でたことない
07:31	みつきん	声一本でやってます
07:31	なり	かっこよ
07:31	みつきん	自分一途なんで
07:31	なり	なりに？？？？？？
07:31	みつきん	そうか？？？
07:31	なり	そんな話してない
07:32	みつきん	してなかた
07:32	なり	うん、なんかかっこいいよ
07:32	みつきん	えー
07:32	なり	へへ
07:32	みつきん	できないだけ
07:32	なり	できなくても困らん
07:32	なり	なりちゃんなぜアコギを持ってきたかといいますと
07:33	なり	まじでアコギ弾けないけど
07:33	なり	ずとまよさん練習しようと思ったからでして…
07:33	なり	なりが弾いてゆうくん横で歌ってくれたりとかしたら素敵な休日過ぎない？？と思いまして……
07:33	なり	勝手に頑張るわ、、、、
07:34	みつきん	なりが歌った方がよくね、、
07:34	みつきん	ギターボーカルしてくれや、、、
07:35	みつきん	でもクッッッソ楽しそう…
07:36	なり	ゆうくんがうたってください、、、
07:36	なり	よかった
07:36	なり	ノーセンキューいわれるかと
07:40	みつきん	ええ
07:43	みつきん	言うわけなくね.…
07:43	みつきん	すき
07:43	なり	はう
07:43	なり	す
07:43	なり	き
07:43	なり	がんばろ、、、ら
07:43	なり	ら
07:47	みつきん	うへへ
07:48	みつきん	すきい
07:48	みつきん	だいすき
07:48	なり	なりもだいすきだよお
07:48	なり	ああああ
07:48	なり	ほんとすき
07:48	なり	なにしてても何考えててもゆうくんがついてくるすき
07:57	みつきん	おれもだよう
07:57	みつきん	だいすき
07:58	なり	はあああ
07:58	なり	すき
07:59	なり	飽きるくらい言われてるし言ってるのにまいかいドキってなる
07:59	なり	飽きることないんだけどね
08:06	みつきん	んへへ
08:06	みつきん	ちょとわかる
08:06	みつきん	単語に飽きてるよね
08:06	みつきん	気持ちは飽きないけどさ
08:06	みつきん	もっと新鮮な言葉使いたいよね
08:07	みつきん	なりに届けたい〜
08:07	なり	そうなのーー
08:07	なり	めちゃめちゃ届いてるよ！！
08:07	なり	今もドキッでした
08:07	なり	ずっと恋してるって感じ
08:08	なり	んーなんて言ったらいいかわかんないw
08:09	みつきん	んへへ〜好き
08:09	なり	なりもすきーーー！
08:13	みつきん	うふふ
08:13	みつきん	愛してます
08:13	みつきん	なりさん
08:14	なり	うがあ！
08:14	なり	やばい
08:15	なり	うう
08:15	なり	好きい、、
08:16	みつきん	えへへ
08:16	みつきん	にやけるあかん
08:16	みつきん	仕事しよかなあどしよかなあ
08:16	なり	えー
08:17	なり	構って♡
08:17	なり	ゆうじろうさん愛してます
08:20	なり	うっひゃあああ恥ずかしい！仕事頑張ってください！はずかしい！！
08:39	みつきん	うはあ
08:39	みつきん	めちゃ客きた♡
08:39	みつきん	好きい
08:39	みつきん	客じゃなくてなり構いたいんだけどな
08:39	なり	客帰って♡
08:39	なり	あう
08:39	なり	だいすき
08:40	なり	すきすきっ
08:46	みつきん	めっちゃくる俺に会いに
08:46	みつきん	おれもだいすきーーー
08:46	なり	！？
08:46	なり	だめ！！！
08:46	なり	なりのゆうくんなの！
08:48	なり	なりしか会いに行っちゃだめなのお、、、
08:59	みつきん	自意識過剰でごめん
08:59	みつきん	がはは
09:01	なり	め！
09:01	なり	なりのゆうくん！！！
09:31	みつきん	そだよ
09:31	みつきん	なりだけのね
09:31	みつきん	すーーき
09:32	なり	うん！！
09:32	なり	なりだけの！
09:32	なり	大好きだよ
09:36	なり	暇すぎて髪の毛であそんでた
09:36	なり	ぶりぶりしてみた
09:39		メッセージの送信を取り消しました
09:39	なり	ねじねじしたけどあんまわからんくて草
09:40	みつきん	えっ
09:40	みつきん	ねえ
09:40	みつきん	かわいい
09:40	みつきん	何この子！！！！！
09:40	みつきん	しゅうちゅうできない！！！！
09:40	みつきん	すきですありがとう
09:40	なり	ぐああ
09:40	なり	ゆうくんに見せるためにやってもう写真撮ったからはずしたわ、、
09:40	なり	なにやってんだこいつ、、、、
09:41	なり	そうやって言ってくれるのうれしいすき
10:10	みつきん	んへ
10:10	みつきん	めちゃ嬉しかった
10:11	みつきん	こちらこそそんなこと言ってくれるし時間も使ってくれるなりちゃん好き余計好きなる
10:11	みつきん	余計ってことないけど
10:11	みつきん	いくら好きになっても増してくこまった
10:11	みつきん	こまらんな
10:11	なり	ふへへ
10:11	なり	だああああいすき
10:12	みつきん	えへへ〜
10:12	みつきん	おれもだあああいすき
10:12	みつきん	一個少なかった
10:12	みつきん	まけた
10:12	なり	かわい
10:12	なり	負けてないよ
10:12	なり	ぶりっこあげるね
10:12		メッセージの送信を取り消しました
10:13	みつきん	はい
10:13	みつきん	優勝
10:13	なり	マジで消すの早くなった気がするなり
10:13	みつきん	なりで酒飲める
10:13	なり	優勝しちゃった
10:13	みつきん	早すぎる
10:13	みつきん	手慣れすぎ
10:13	なり	ゆうくんのせいでだよ
10:13	みつきん	保存激早だけどね。
10:13	みつきん	ふふ
10:13	なり	おもった
10:14	なり	保存できてない！ってならんなって。
10:14	なり	なりで酒飲めるうれしいななんか
10:14	みつきん	まかせて
10:14	みつきん	なりで酒飲むわ
10:14	みつきん	つまみいらね
10:14	なり	ふふ
10:14	なり	なりと一緒の時に飲んで
10:14	みつきん	ふはあ
10:14	みつきん	そうする
10:14	なり	酔ったゆうくんかわいいから
10:14	なり	あんまだめ
10:14	みつきん	リアルなりで飲むから
10:14	みつきん	酔った俺可愛くないよ
10:14	なり	こりゃふぇすん時飲むしかねえ
10:14	みつきん	なりにだけあまあま
10:15	みつきん	のむぜえ
10:15	なり	ほんとになりにだけ？
10:15	なり	可愛すぎるよあのゆうくん
10:15	みつきん	そだよ
10:15	なり	のむぜー
10:15	みつきん	ふひひ
10:15	なり	うれしいなあ
10:16	なり	ゆうくんだいすき
10:16	なり	ほんとにすき
10:18	みつきん	おれもほんとにすきい
10:18	みつきん	だーいすき
10:19	みつきん	日本語足りない
10:21	みつきん	[写真]
10:21	みつきん	いい日〜
10:24	なり	めっちゃきれい！！！！
10:24	なり	雲少な！
10:24	なり	日本語足りないよねもっとレパートリー欲しい
10:24	なり	てか送りすぎてるからあんま送らないって言ったのに！
普通に送ってる！！！！w
10:48	みつきん	んふふ
10:48	みつきん	うれしい
10:48	みつきん	なり来たら元気出る
10:49	なり	元気出てくれるの？
10:49	みつきん	すーき
10:49	みつきん	え
10:49	なり	じゃぁおくっちゃお、、、
10:49	なり	え
10:49	みつきん	出てる
10:49	なり	うれしい
10:49	みつきん	今日なんか元々元気なのに
10:50	なり	んんん
10:50	なり	ゆうくんすき
10:50	みつきん	えへへ
10:50	みつきん	なーちゃん大好き
10:50	なり	あがあああ
10:51	なり	なんでこんな好きなの？？
10:51	なり	たまらんな
10:51	みつきん	たまらん
10:51	みつきん	たまんないね
10:51	みつきん	じゃん
10:51	なり	たまんないね
10:51	みつきん	ふふ
10:51	なり	あーだいすき
10:51	なり	オムライス好きそうだから練習しよ、、、
10:51	なり	（唐突）
10:52	みつきん	なんで知ってんの
10:52	みつきん	あ言ったな
10:52	なり	言ってたきがする
10:52	みつきん	今日の昼じゃん
10:52	みつきん	ずる
10:52	なり	ばれた
10:52	なり	ケチって卵1個
10:52	なり	ゆうくんに作る時は2個
10:52	みつきん	一個むずくね
10:53	なり	乗ってるねちょっとだけみたいになる
10:53	みつきん	ね
10:53	なり	え
10:53	みつきん	ちょんまげスタイル
10:53	なり	包めないんだけど
10:53	なり	いい？
10:53	なり	いい？じゃねえ
10:53	なり	練習しろ、、
10:53	みつきん	オムライスなんだって好き
10:53	みつきん	なりが作るものなら
10:53	みつきん	なんでもいんだけど
10:53	なり	あう
10:54	なり	すき
10:54	みつきん	好きな人に食べさせるのはさあ
10:54	みつきん	綺麗にしたいよなあ
10:54	なり	喜んで何でも作っちゃう
10:54	なり	そうなの
10:54	みつきん	んふふ
10:54	なり	でもできないい
10:54	なり	ケチャップで隠そ、、、
10:54	みつきん	かけすぎじゃね
10:55	なり	たしかにwww
10:55	みつきん	隠せるほどかけないでww
10:55	なり	すいませんwww
10:55	なり	普通に笑っちゃった
10:56	なり	すいません嫌いやねん、すみませんやろなんねん
10:58	なり	いなくなっちゃた
10:58	なり	さみしい
10:58	なり	ゆうくんすきだよ
10:58	なり	ずっと話してたいくらいすき
10:58	なり	あう
10:58	みつきん	すみませんやろ
10:58	みつきん	いた
10:58	なり	すみません
10:59	みつきん	許す
10:59	なり	うぐ
10:59	なり	すきです
10:59	なり	ゆうくん
10:59	なり	すき
10:59	なり	ねえ
10:59	なり	すき
10:59	なり	だいすき
10:59	みつきん	おれもすきーーー
10:59	みつきん	溢れすぎてね
10:59	みつきん	すきうれし
10:59	なり	うう
11:00	みつきん	嬉しいなあなりちゃん！！
11:00	なり	止めれないもん
11:00	みつきん	んふ
11:00	なり	あいしてる
11:00	みつきん	うあーー
11:00	みつきん	すきだなあほんと
11:00	なり	うん
11:00	なり	ほんまにすき
11:00	なり	めっっっちゃすき
11:00	みつきん	ね
11:00	みつきん	ほん
11:00	みつきん	money
11:00	みつきん	じゃん
11:00	なり	よぎったよ、、、、
11:01	なり	でも
11:01	なり	moneyうつの待てなかった
11:01	なり	打ってる時間のあいだに好き言えるやんおもて
11:13	みつきん	たしかに…
11:13	みつきん	可愛い好き
11:13	みつきん	大好き
11:13	みつきん	ぎゅーになるわ
11:13	みつきん	ぎゅーーーしたい
11:13	なり	してええええ
11:13	なり	なりもしたいい
11:14	なり	ゆうくんゆうくん！！大好き！！！
11:16	みつきん	うひい
11:16	みつきん	デスク大ニヤケだ
11:17	なり	うれしい
11:17	なり	大ニヤケしてください
11:17	なり	だいすきです
11:17	みつきん	デスクオオニヤケたぶん固有種じゃん
11:17	みつきん	妖怪というより虫
11:17	なり	www
11:17	なり	すぐ捕獲しに行こ、、、
11:19	なり	ねえこれ逃したかも！！！なり！！！
11:19	なり	[写真]
11:19	なり	あどさん
11:20	なり	まだあるとは思うけど、、
11:23	みつきん	アッ
11:24	みつきん	残念〜
11:24	みつきん	なんかさーがそ
11:24	みつきん	バウンディはなかった
11:24	なり	うう
11:24	なり	一昨日やったやん
11:24	なり	公式LINEでお知らせとかしてよおおお
11:27	なり	なんかさがす、、、、
11:29	なり	あど プレイガイド最速受付って書いてたからもうしばらく気にしとく、、、、
11:31	みつきん	んへへ
11:31	みつきん	すーき
11:31	なり	あいたい
11:32	なり	あいたいもん
11:32	なり	あいたいあいたいいい
11:32	みつきん	会いたいね
11:32	みつきん	んー
11:33	なり	わがままいってごめん
11:34	みつきん	ううん
11:35	みつきん	探してるたのしいえへへ
11:38	なり	うう
11:38	なり	ゆうくんすき
11:40	みつきん	えへ
11:40	みつきん	なりと行くって思ったら
11:40	みつきん	余計楽しいよね
11:40	みつきん	ウッッキウキで見てる
11:40	みつきん	猿かな
11:43	なり	猿だった
11:43	なり	かわいい猿だな
11:43	なり	連れて帰っていいですか？
11:43	なり	いやもうあれだな。ライブとかなくても会えるようになりがなればいいんだわ
11:50	みつきん	えっ
11:50	みつきん	早まりすぎてない
11:50	みつきん	そうでもないか
11:50	なり	がう
11:50	みつきん	でもさあこれを言い訳にライブ行けんのもよくね
11:50	みつきん	言い訳？なんかむずいな
11:50	なり	うん良い
11:50	みつきん	自分への理由づけ的な？
11:50	みつきん	まあなりに会いたいが9割以上なんすけど
11:51	みつきん	すうきい
11:51	なり	あえるのがいちばんだけど
11:51	なり	うが
11:51	みつきん	うが
11:51	なり	あいてえ
11:51	なり	なりもさがそ、、、、
11:51	なり	11月ワンチャンいうてたのは11月後半？
11:52	みつきん	11月ワンチャンは
11:52	みつきん	11/10までくらいだとおもう
11:52	みつきん	後半はあやしい
11:52	みつきん	11.12はなんとか行けそうみたいな感じ
11:53	なり	なるほど
11:53	なり	予定日は前半なのね
11:53	みつきん	う
11:54	なり	大丈夫
11:54	なり	くらってないよ！！
11:54	みつきん	そうです！！！
11:54	なり	おけー
11:55	なり	んじゃあれか
11:55	なり	あどいけたとしても東京ドームか
11:56	みつきん	そうなんよね、、
11:56	みつきん	あでもさ
11:56	みつきん	京セラドームか
11:56	なり	おけい
11:56	なり	ん
11:56	みつきん	広島からすぐ行けんじゃね
11:56	なり	なんて言って来んの？w
11:56	みつきん	日帰り行けるかも
11:56	みつきん	え、普通に遊んでくる
11:57	なり	行けんのか
11:57	なり	日帰りはいけると思う！
11:57	みつきん	4時間半で行ける！！
11:57	みつきん	余裕やん！！
11:57	みつきん	お？帰れるんか？
11:58	なり	新幹線だったら2時間くらいかも
11:58	みつきん	2時間やんけ
11:58	なり	www
11:58	みつきん	近すぎだろ！
11:58	みつきん	余裕すぎ
11:58	なり	車やと遠いな
11:59	みつきん	いいねどっちもいい！！
11:59	なり	ありなのか？？？
11:59	みつきん	あど、あり
11:59	なり	！！！！
11:59	みつきん	普通にアドのライブ行くわ言うわ
11:59	なり	私、なり
11:59	みつきん	かわいいねすき
11:59	みつきん	お茶でもどう
11:59	なり	よめちあどすきなんやろ
11:59	なり	ええの？
12:00	なり	よろこんでえ！
12:00	みつきん	ええんやで
12:00	みつきん	アドたまに聞いてたくらい
12:00	なり	なんできゅうにあど、、ってなりそ
12:00	なり	いや
12:00	なり	ゆうくんの勝手やろ！！！！
12:00	みつきん	こっから根を張ってくんだよ
12:00	みつきん	そうですけど？？
12:01	なり	ぐふ
12:01	みつきん	ぐふ
12:01	なり	どっちかっていうも
12:01	なり	と
12:01	なり	あど
12:01	なり	京セラのが助かる
12:01	みつきん	んね
12:01	みつきん	そっちの方だけでいいよ！
12:01	なり	めっちゃせきいろいろあったけど
12:02	なり	ゆうくんと会いたいだけやしまじで天井席でもいいわ（）
12:02	みつきん	どっちかがいいんだけどいい？
12:02	みつきん	ツーデイズ？
12:02	なり	どっちもとはいわんよ！！
12:02	なり	1日で！
12:02	なり	わんでー
12:02	みつきん	わんでーおけ
12:03	みつきん	どちでもいいよん
12:03	みつきん	うへ
12:03	みつきん	すき
12:03	なり	プレ選考しめきたばっかだからもうちょいあとかなあ
12:03	みつきん	んね〜わくわくしとこ
12:03	なり	行きたいねえ
12:03	みつきん	うふふ
12:03	みつきん	ねー！
12:03	なり	ワキワキ
12:03	みつきん	わきわきしてきた
12:04	なり	ね
12:04	なり	わきわき
12:04	みつきん	んふふ
12:04	なり	一応ローチケとかも見るようにするー
12:04	なり	まじでいきたい
12:04	みつきん	すきっぷしちゃいそ
12:04	なり	かわい
12:04	みつきん	ローチケ無限にメールきて楽しい
12:04	みつきん	いつも助かってます
