Column1	Column2	Column3
17:36	みつきん	あらま
17:36	なり	穴という穴からミルクはいててびっくりしてる
17:36	みつきん	えっ
17:36	みつきん	はやくみてあげて
17:36	なり	でもわろてる
17:36	なり	もう対応済みです
17:36	みつきん	おもろ
17:37	なり	なりも好きだった！
17:37	みつきん	なんか我慢してる女優の顔おもろかって
17:37	みつきん	すきだったわ
17:37	なり	めちゃSやん
17:37	なり	なんか想像して真似してたわ
17:37	みつきん	ええ
17:38	みつきん	かわい
17:38	なり	我慢出来んのかなって
17:38	なり	するくない？
17:38	みつきん	むり
17:38	みつきん	俺嫌いなもん絶対食べれなかったから
17:38	みつきん	そもそも口に入れた瞬間おえ
17:38	なり	わかるけどお
17:38	なり	今思ったら
17:38	みつきん	まあもうないんすけどね
17:38	みつきん	ふふ
17:38	なり	プチトマト牛乳で流し込んでたけど
17:39	なり	ぎゃくにまずくなってておもろ
17:39	みつきん	すげえなw
17:39	みつきん	それは不味くなるわ
17:39	みつきん	トマト牛乳…しんど…
17:39	なり	残したくなかったんよ給食
17:39	みつきん	えらすぎ
17:39	なり	でも飲み物牛乳しかないやん
17:39	みつきん	たしかにね
17:39	みつきん	えらすぎ
17:39	みつきん	好き
17:39	なり	ねーえらなりちゃん
17:39	みつきん	好きエピ増えた
17:39	なり	ふえちゃった
17:39	みつきん	俺絶対残してた
17:39	なり	まじか
17:39	みつきん	居残り確定
17:39	みつきん	ガハハ
17:40	なり	うめジャコご飯めっちゃきらいでさ
17:40	みつきん	え、うまそ
17:40	なり	えづきながらたべた
17:40	なり	w
17:40	みつきん	今ならうまそうに思えるけど
17:40	なり	今ならなりも食べれるよお
17:40	みつきん	小学生のころは無理そうおれも
17:40	なり	嫌いなもんゼロ？？？
17:40	なり	混ぜご飯ほんと無理だったわ
17:40	みつきん	あー
17:41	みつきん	みょうがの天ぷらは食べたくない
17:41	みつきん	薬味としては好き
17:41	みつきん	くらい
17:41	なり	なんか洒落た好き嫌い出てきてわろた
17:41	みつきん	そうかなあ？w
17:41	なり	うんw
17:41	みつきん	あとはぜんぶたべるすき
17:41	なり	みょうがの天ぷら食べる機会ないよw
17:41	みつきん	そうかなあ
17:42	みつきん	でも今度はたべれるかも
17:42	なり	みょうがは薬味の量でいいわ、、、
17:42	みつきん	美味しい天ぷら屋さんいこーね
17:42	みつきん	ねーー
17:42	みつきん	おれもそう。
17:42	なり	美味しい天ぷら屋さん！いく！！！
17:42	みつきん	ふひひ
17:42	みつきん	たのしみ
17:42	なり	調子乗っていっぱい入れたらたべれへんみょうが
17:42	なり	てんぷらすきーーー
17:42	みつきん	わかる
17:42	なり	大葉の天ぷら好き
17:42	みつきん	すきーーー
17:43	なり	美味しいよね！！！
17:43	みつきん	だいすき
17:43	みつきん	俺あとキノコ系すき！
17:43	なり	おいしい！！！！
17:43	みつきん	舞茸がナンバーワンだわ
17:44	みつきん	圧倒的に好き……
17:45	なり	舞茸美味しいなあ
17:45	なり	舞茸てんぷらでたべんのがいっちゃん美味しい
17:45	なり	急に天ぷらトークしてておもろ
17:49	みつきん	たしかに
17:49	みつきん	舞茸なんでもうまくてすきーーー
17:49	なり	おいしいねえ
17:49	なり	大丈夫？
17:50	みつきん	なんかグズってる
17:50	なり	暇な時でええからね
17:50	みつきん	うん〜
17:50	みつきん	ありがと
17:50	なり	わーそれは相手したげて
17:50	みつきん	なりもグズってたからなあ
17:50	みつきん	かわいい
17:50	なり	もう大丈夫やし
17:50	みつきん	すき
17:50	なり	なりもすきだよ
17:51	みつきん	だいすき
17:51	なり	うんん
17:51	みつきん	ぐう
17:51	なり	ちーず
17:51	みつきん	ちーず
17:51	みつきん	？
17:51	なり	れいとうしようとおもて
17:51	みつきん	うん
17:51	なり	ほぐしてた
17:51	みつきん	なんの
17:51	みつきん	報告でしょうか
17:52	なり	すんませんwww
17:52	みつきん	チーズほぐし報告
17:52	みつきん	まあ必要か
17:52	なり	できた
17:52	みつきん	ほうれんそうできるおんな
17:52	なり	1時間後にまたほぐします
17:52	みつきん	えら
17:52	みつきん	ほぐしたことない
17:52	みつきん	いつもばきってやってる
17:52	なり	そしたらパラパラで冷凍されるんよ〜
17:52	みつきん	多く割れたらラッキー
17:53	みつきん	ほええ
17:53	みつきん	おぼえとこ
17:53	なり	大変じゃんそれ
17:53	みつきん	絶対忘れるわ
17:53	なり	ふふ
17:53	みつきん	脳筋だから
17:53	なり	なりとすんだらなりがするから大丈夫よ
17:53	みつきん	べきべき
17:53	みつきん	えーおれもやる
17:53	なり	いっしょにしよか
17:53	みつきん	するーー
17:53	なり	かわち
17:53	みつきん	わい
17:53	なり	い
17:54	なり	なんか
17:54	なり	ちと
17:54	みつきん	ん
17:54	なり	嫁と息子娘への罪悪感がすごい来てる今
17:54	なり	どうしたらいい？
17:54	みつきん	ええ
17:54	なり	www
17:54	なり	もう手遅れ？？？
17:54	みつきん	んー
17:54	みつきん	持っといて
17:54	みつきん	俺と背負ってくれ
17:54	なり	うん
17:54	なり	ごめんなさい
17:55	みつきん	重くてごめん
17:55	なり	ううん
17:55	なり	やっぱやめとく？とはならない
17:55	なり	ごめん
17:55	みつきん	ならんよなあ
17:55	みつきん	わかるぜ
17:55	みつきん	好きだあ
17:55	なり	なりもすきだよ
17:55	なり	絶対一緒になりたいの
