Column1	Column2	Column3
13:45	なり	嫁ちゃんわかってるう
13:45	なり	終わったらすぐLINEおくっちゃおっと
13:47	なり	はっ嫁っｸﾞｯｯｯｯ
13:47	みつきん	…
13:47	なり	時差できた
13:47	なり	うとうとしてたからなんもおもわんかったけど
13:47	みつきん	うとうとしてたんか
13:47	なり	気づいたら5ふんたってた
13:47	みつきん	かわいい
13:47	みつきん	おれもねむい
13:47	なり	ねーねむいね
13:48	みつきん	うん〜
13:48	なり	一緒にお昼寝したい
13:48	なり	でも起きて用意しなきゃ来る
13:50	みつきん	俺はできないから起きてて♡
13:51	なり	♡やばい
13:51	なり	目さめた
13:51	なり	おきる
13:51	みつきん	なんか仕事
13:51	みつきん	しよと思ってたけど
13:52	みつきん	もうちょとでなりいないらしいから
13:52	みつきん	サボりにきた！イエイ！
13:52	なり	えええ
13:52	なり	笑
13:52	なり	なりふぁーすとすぎるね
13:52	なり	すきよ
13:52	みつきん	俺も好き〜
13:52	なり	こういう時に限って早く来そう
13:52	みつきん	いつでもできる仕事だから〜
13:52	みつきん	そなん
13:53	なり	こないだ30分はやくきてびびた
13:53	みつきん	はやすぎやろw
13:53	なり	ひどいよね笑
13:53	みつきん	忙しいんだろなあ
13:53	なり	リアルに え？って言うた
13:53	なり	しゃーないけど
13:53	みつきん	んね
13:54	なり	ねむう
13:54	なり	くない
13:54	みつきん	ねむそうすぎ
13:54	みつきん	俺も気抜いたら寝る
13:54	なり	ね
13:54	みつきん	明日の立ち入りの用意だった
13:54	なり	しなきゃじゃん
13:54	みつきん	なにがいつでもじゃ
13:54	みつきん	でもサボる
13:55	みつきん	ちょと今日働きすぎかな
13:55	なり	悪い子だ
13:55	みつきん	どこで手抜けるかが仕事よ
13:55	なり	ふふ
13:55	みつきん	おほほ
13:55	なり	働きすぎてるの？
13:55	なり	よしよし
13:56	みつきん	定時退社マン
13:56	みつきん	働きすぎた〜
13:56	みつきん	怒られる？
13:56	なり	誰に怒られるの
13:56	みつきん	なり
13:56	なり	怒んないよお
13:56	みつきん	ほほ
13:56	なり	えらいねえってほめる
13:56	みつきん	わあい
13:56	なり	おばちゃんにだけおこる
13:57	なり	ちとコロコロだけしてくる
13:57	みつきん	俺後輩が早く帰るためにも定時退社徹底してる
13:57	みつきん	してきてー
