Column1	Column2	Column3
16:31	みつきん	ごめんなさい
16:31	なり	殺すとか怖い言葉使わないのに〜〜
16:31	なり	全然大丈夫w
16:31	みつきん	ほんとだよ
16:31	みつきん	変わったね
16:31	なり	引いた？
16:31	みつきん	ううん好き
16:32	なり	ふへ
16:32	なり	仕事上とか仕方ないのは別に気にならないよお
16:32	みつきん	前よりイキイキしてんなーて思った
16:32	なり	本性出しちゃってるかも
16:32	なり	ぶりっこしてないかも
16:32	みつきん	おれも！
16:33	みつきん	心の中ひっくり返して見せてる
16:33	みつきん	あはは〜
16:33	なり	相当やな
16:33	なり	なりもやけど
16:33	なり	まじで頭で思ったことなんも考えへんと言うてる
16:33	みつきん	ぜ〜んぶはなそとおもって
16:33	なり	嬉しいよお
16:33	みつきん	ぐひい
16:34	なり	6時まで待ちなの？
16:34	なり	仕事もさせて貰えないの？
16:34	みつきん	そだよ
16:34	みつきん	ひどいだろ
16:34	なり	ええ
16:34	なり	なんの時間すぎる
16:34	みつきん	ライン見るしかできない
16:34	みつきん	ねえ
16:34	なり	よかったねえ
16:34	みつきん	しかもなんか
16:34	なり	なりちゃんとはなせる
16:34	みつきん	待ち場所適当に待っててみたいな
16:34	なり	うん
16:34	みつきん	すんごい気まずい
16:34	なり	適当すぎw
16:34	みつきん	やめてくれや
16:35	なり	にやけることいわんようにしなきゃ
16:35	みつきん	なりちゃんと話せるから耐えれてるけどさ
16:35	みつきん	これいなかったらどうすんのおれ
16:35	なり	なりちゃん買い物行こーとか思ってたわ
16:35	みつきん	激スカしボーイ
16:35	みつきん	えー
16:35	みつきん	ざびじいい
16:35	なり	げきすかしぼーいでおってくれ
16:35	なり	まだいかんよ
16:35	みつきん	酔ったらわからん
16:36	みつきん	ニヨニヨする
16:36	なり	によによwww
16:36	みつきん	ニヨニヨするんて
16:36	みつきん	なりちゃん買い物行くんかあ
16:36	みつきん	そうかあ
16:36	なり	みたすぎる
16:36	なり	え
16:36	なり	いかないよ
16:36	みつきん	ふりっくはや
16:36	なり	まだいかないよ
16:36	なり	ありがとう
16:36	みつきん	そうして
16:36	みつきん	俺が乾杯したらにして
16:36	なり	あと一時間半w
16:37	みつきん	たのむ
16:37	なり	買い物中
16:37	みつきん	うん
16:37	なり	一方的に声聞かせれるんじゃねとかおもったたけど
16:37	なり	むりだな
16:37	みつきん	…
16:37	なり	なりが1人で喋るって言う
16:37	なり	みみにけいたいあてなあかんもんな
16:38	なり	やめとこ
16:38	みつきん	何時に行くん
16:38	なり	きめてない
16:38	みつきん	じゃ乾杯してからね
16:38	みつきん	w
16:38	なり	ええw
16:38	みつきん	おそすぎ
16:38	みつきん	🥱
16:38	なり	ちとそれはきびし
