Column1	Column2	Column3
19:06	みつきん	やめとこ
19:06	なり	えっ
19:06	なり	拒否られた
19:06	みつきん	すいこんでや？？
19:06	なり	まずそうってこと？？？？？
19:06	みつきん	だってカービィも吸い込む時きつそうな声してる
19:06	なり	たしかに
19:07	なり	やめとこ
19:07	みつきん	ね
19:07	なり	今日はレンチンで全部終わった楽ちん〜
19:07	みつきん	わあいいねえ
19:07	なり	へへん
19:07	なり	昼いっぱい食べちゃったからね
19:07	なり	ヘルシーに行こうと思って
19:07	みつきん	なる？
19:07	なり	ご飯しっかり食べる予定だから無意味そう
19:08	みつきん	緊張して食えんのかな
19:08	なり	ゴルゴじゃがいもがいっぱいあり過ぎるのでまたじゃがバタ作っちゃった
19:08	なり	え、それは思った、、、、
19:08	みつきん	いいなあ
19:08	みつきん	だよね
19:08	みつきん	ちょっとこわい
19:08	なり	朝ごはんとか絶対食べれる気しないんやけど
19:08	みつきん	でもお腹ぽよらなくて済むな
19:09	みつきん	ね
19:09	みつきん	夜いっぱい食べよ
19:09	なり	それありだね！！
19:09	なり	朝軽くにしよっ
19:09	みつきん	フェスもあんまりお腹に入れてちゃ動きずらいし
19:09	みつきん	なーー
19:09	なり	たしかに
19:09	なり	なんかコンビニで適当に買って食べてもいいかも
19:09	なり	それはあれか…？だいなしか？
19:10	みつきん	ううんぜんぜん！
19:10	みつきん	いいよ〜
19:10	なり	うわーい
19:10	みつきん	開場10時？だっけ
19:10	みつきん	ちょっと時間余るクネってのが
19:10	みつきん	懸念
19:10	みつきん	クネクネ
19:10	なり	開場9じだたきがする
19:10	なり	くねくね
19:10	みつきん	くじか！いいね！
19:10	なり	まってね！
19:10	みつきん	まつーー
19:11	みつきん	レジャーシートいるかなあ〜
19:11	みつきん	じゃまか
19:11	なり	どこにかいてんの
19:11	なり	これ
19:11	なり	あった
19:11	みつきん	お
19:11	なり	[写真]
19:11	みつきん	しごでき
19:11	なり	9:30だた！
19:11	みつきん	ほんとだ！
19:11	みつきん	7時に着くやん？
19:12	なり	うんうん
19:12	みつきん	あバス見とこ
19:12	なり	7:20 なんばちゃくとかじゃなかった？
19:12	みつきん	ううん！泉大津のやつ？
19:13	なり	あー！
19:13	なり	シャトルバス的な人！
19:14	みつきん	[写真]
19:14	みつきん	[写真]
19:14	みつきん	記憶力よすぎ問題
19:14	みつきん	おれがわるいんか
19:14	なり	いやめっちゃみた
19:14	なり	電車それで調べたもん
19:15	みつきん	[写真]
19:15	みつきん	好き。
19:15	なり	ちょくちょく走ってんのか
19:15	みつきん	らしい
19:16	みつきん	9時から動いてる〜
19:16	なり	すばら
19:16	なり	9時まで乗れへんの？w
19:16	みつきん	らしい
