Column1	Column2	Column3
07:25	なり	きもないよ
07:25	なり	ゆうくんは
07:25	みつきん	俺はキモいかも
07:26	なり	ぎりぎりまでよこいてよ
07:26	なり	中は入れないから
07:26	なり	その時間もったいなさすぎるでしょ
07:26	みつきん	わーい
07:26	みつきん	そうする！
07:26	なり	ちょっとでも離れたくないから
07:27	なり	おむつしていったらいい？www
07:27	なり	臭いの嫌すぎるからやめとこ
07:29	みつきん	フェスガチ勢すぎww
07:30	なり	フェスだけじゃないもん
07:30	なり	ゆうくんガチ勢も入ってるもん（？）
07:32	みつきん	ありがとうすき
07:33	みつきん	ももあさんなんじ？
07:33	みつきん	仕事ためとこ
07:33	みつきん	奇しくも…暇そう…
07:33	みつきん	ぐぬぬ、、
07:34	みつきん	俺も1人で考え込んじゃうかもよ、、、
07:41	なり	暇そうなの
07:42	なり	え、1人で考え込まないでえ
07:42	みつきん	えー
07:42	みつきん	わからん
07:42	なり	11:30か12時くらいらしい
07:42	みつきん	おもろ
07:42	なり	ももあのまつ毛サロン次第！
07:43	なり	なりやっといて申し訳ないけどゆうくんに諦めてとか言われたらまじで立ち直れない
07:45	みつきん	なる〜
07:45	みつきん	食い下がっちゃってごめん
07:47	みつきん	好きだよ
07:48	みつきん	なりちゃん
07:48	みつきん	食い下がったこと後悔してない
07:48	なり	ぐあああ
07:48	なり	後悔してないの
07:48	みつきん	後悔させないから
07:48	なり	うんっ
07:48	なり	なりもすき
07:49	なり	もう言わない私あんなこと
07:49	なり	ごめんね
07:49	みつきん	ううん〜
07:49	みつきん	いつでも言って
07:50	みつきん	わたくしいつでも嫌だって言うから
07:50	なり	やだよお傷つけたもん
07:50	なり	嫌だって言ってね、、、
07:50	なり	まじで離れたくない
07:51	なり	ゆうくんだいすきなの
07:51	なり	なりのにしたい
07:52	みつきん	なりのになるよ
07:52	みつきん	すきだ
07:52	みつきん	じつもとなるわ
07:53	なり	なりのになって
07:53	なり	じつもとなって
07:53	なり	じつもとやば
07:55	なり	なにもする気ないから昨夜の味噌汁の残りでねこまんましちゃった
07:55	なり	ズボラすぎ、、
08:13	なり	[スタンプ]
08:23	みつきん	う
08:23	みつきん	見られてる
08:23	みつきん	ねこまんますき、、
08:23	なり	ほんと、、、！？
08:23	なり	結構な頻度でしちゃってる、、、、
08:24	なり	暇すぎてトイレでReI熱唱してた
08:24	なり	あ
08:24	なり	[写真]
08:24	なり	シャツかわいいいい
08:29	みつきん	ねえこれ着たいよね
08:30	みつきん	あ
08:30	なり	着たい
08:30	なり	ん
08:34	みつきん	これ間に合うかな！？
08:35	なり	あーーー
08:35	なり	現地にないかなとか思ってたw
08:36	なり	現地にあったら買うか〜くらい呑気に考えてた
08:36	みつきん	ごめん早まった
08:37	みつきん	ぐ
08:37	なり	え
08:37	なり	はやまってない！！！
08:37	みつきん	おそろしたかた…
08:37	なり	うれしい！！！！！！
08:37	なり	おそろしたいのはなりもしたいよおおお
08:37	みつきん	ぐ
08:37	みつきん	いいTシャツなくて
08:37	みつきん	悩んでた
08:37	なり	来て行けたらめっちゃいいな確かに
08:37	なり	へそチラせんですむし
08:38	みつきん	うわああそれはそれで
08:38	みつきん	すてがたい
08:38	なり	すてがたいw
08:38	なり	早く着きそうだから買えへんかなあ
08:38	みつきん	へそ焼かさせたい
08:38	みつきん	んねー！
08:38	なり	へそやくのやだな
08:38	みつきん	へそだけサンオイル塗っとくね！
08:39	なり	レディクレ行った時そんな早くいった記憶ないけど買えたけどなあ
08:39	なり	え、やだよwww
08:39	なり	へそだけくろいとかきもいやん
08:39	みつきん	わーい買えそうーー
08:39	みつきん	じゃなんかTシャツみつくろお
08:39	なり	んへえ
08:40	なり	買えなかったらごめんw
08:40	みつきん	まあそんときはそんときね！
08:40	なり	時間余裕あるしとかいうてなり寄り道しそうでこわい
08:40	なり	んへえやさしい
08:40	みつきん	え、したくね
08:40	なり	しちゃうか
08:40	みつきん	なりといろんなとこ行きたい
08:40	みつきん	うん、する
08:40	なり	やばああああ
08:40	なり	大ニヤケ
08:41	みつきん	ぐ
08:41	みつきん	すきです、、
08:41	なり	なりもいきたーい
08:41	みつきん	気持ち溢れると、、出る
08:41	なり	でるよね
08:41	なり	すぐ溢れる
08:41	みつきん	ですぎ
08:41	みつきん	ほんとだよ
08:41	なり	しょうがないやん
08:41	なり	だいすきやねんもん
08:41	みつきん	だだもれ
08:41	みつきん	やねんもん！！、
08:41	みつきん	だって！！
08:41	なり	ええw
08:42	みつきん	なに寄り道しちゃおっかな〜
08:42	なり	んー
08:42	みつきん	んーーー
08:42	なり	とりあえず飲み物かいにいくでしょーー
08:42	みつきん	やりたいこといっぱいありすぎ
08:42	みつきん	うんうん
08:42	みつきん	飲み物買って〜
08:42	なり	かってー
08:42	みつきん	0次会だ
08:42	みつきん	たぶん
08:42	なり	0次会w
08:43	なり	なにがあるんだ
08:43	みつきん	え
08:43	なり	何ができるんだろあの時間
08:43	みつきん	ね
08:43	なり	8時前とかでしょ
08:43	なり	あんま店あいてなさそうで笑う
08:43	みつきん	スタバすぎ
08:44	なり	すたば！
08:44	なり	いきたい！
08:44	みつきん	お
08:44	なり	緊張して秒で飲み終わりそう
08:44	みつきん	えー、、
08:44	みつきん	お腹壊しそうじゃない？
08:44	なり	それはたしかに、、、
08:44	みつきん	でもさ！朝ごはん食べてないよ！
08:44	なり	お腹よわよわコンビはだめだな
08:44	なり	！！！
08:44	なり	なんか食べるか！！！
08:44	みつきん	なんかたべよ！
08:45	なり	なんかカフェかなんかはいろ
08:45	みつきん	ねーーー
08:45	なり	なにかしらあるやろ！
08:45	みつきん	フレンチトースト食べたい
08:45	みつきん	お腹壊さない
08:45	なり	そなの！
08:45	なり	なんばえきモーニング調べたらいっぱいでてきた！
08:46	みつきん	たのしみ〜〜〜
08:46	みつきん	そうかモーニングあるとこらへんなのか
08:46	なり	なんばから泉大津は20分くらい！
08:46	みつきん	たのしみすぎ
08:46	なり	だってもう2ヶ月ないよ！！！
08:47	みつきん	泉大津まで行っちゃう？
08:47	みつきん	なんばのほうがなんかありそうか
08:47	なり	あーそれもありかも！
08:47	みつきん	たのしみ
08:48	みつきん	仕事にならねーや今日は！
08:48	なり	だめじゃーーーん
08:48	なり	なりのせいだったーーー
08:49	なり	泉大津駅にモーニングありそう！
