Column1	Column2	Column3
06:22	なり	がんばる
06:22	なり	30分で息子にミルクあげて出るように動くよおおお
06:22	なり	ふっふ
06:22	なり	なりのがすきだなこれは
06:25	みつきん	好き、、、、、、、、
06:25	みつきん	強い要素だな
06:27	みつきん	やるなあ
06:28	みつきん	めっちゃうれしい、、
06:28	なり	うへへ
06:28	なり	喜んでくれるならやりがいあるねえ
06:28	なり	すきだよお
06:35	みつきん	大好き
06:35	みつきん	こんな好きな人と話せたら嬉しい
06:35	なり	なりもーーー
06:35	なり	すーきすき
06:36	みつきん	すきい
06:36	みつきん	だいすき
06:36	なり	だいすき！
06:36	みつきん	かわいい
06:36	みつきん	すきーーー
06:36	なり	ほんまにすきーーーー
06:36	なり	愛してる
06:38	みつきん	ほんまに
06:38	みつきん	すき
06:38	みつきん	おれもほんまにすき！！
06:43	なり	ほんmoney
06:43	なり	かわいい
06:43	なり	ゆうくんが関西弁使うとかわいい
06:43	なり	すき
06:44	みつきん	えー
06:44	みつきん	なりがつかってるほうがかわいい
06:45	なり	かわいいのーー
06:45	なり	んなことないし
06:45	みつきん	関西弁も喜んでる
06:46	みつきん	好きぃ
06:46	なり	喜んでるww
06:47	なり	だあいすき
06:48	みつきん	だいすきーー
06:50	なり	ふふ
06:50	なり	7時過ぎだよね家出るの
06:50	なり	よし
06:54	なり	雨やんどんのかーい
06:56	みつきん	そだよーー
06:56	みつきん	やんどんのかーーーい
06:56	みつきん	こっちもやんだ！
06:56	みつきん	7時4分くらいに車乗ってる！！
06:57	なり	いっしょかーい！
06:57	なり	おけ！
07:03	みつきん	でたーー
07:18	なり	☎ 通話時間 13:31
07:22	みつきん	☎ 通話時間 3:46
07:22	なり	だいすきだよ
07:22	なり	愛してる
07:28	なり	北極なかったし！！！
07:29	みつきん	なかったかあああ
07:29	なり	普通の買った、、
07:29	みつきん	安定のね、、
07:30	なり	美味しいからいいや、、、
07:30	なり	前髪湿気と汗でべたべた
07:30		メッセージの送信を取り消しました
07:30	みつきん	お腹に優しいから、、
